"","agouti_sequence","image_id","individual","notes"
"74","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/85934761-9219-4b72-89dd-ec80366011a7","1","LEO","with infant and juveniles"
"75","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/007dd511-58f3-4bbb-a768-066126b3618a","1","LAR","dot left ear"
"76","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/e439a915-68c8-423a-ad47-9aaedfdeafb5","1","INK",NA
"77","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1a2f2213-e8f8-45fa-a240-921aa299f780","1","SPT",NA
"78","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1a2f2213-e8f8-45fa-a240-921aa299f780","28","LEO","not sure, check"
"79","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/39b74e36-97fc-4345-a479-3caf30f0791e","1","SPT","double-check"
"80","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/0b56aad7-683a-4315-9e99-6d72c9b6a37e","1","CYS",NA
"81","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/9da4c001-b343-41ce-aa93-fa1118e4db05","25","LEO","double-check, with infant and juvenile with white on side of legs"
"82","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1458e88d-a015-450c-b783-05b3d1ad997c","9","LAR",NA
"83","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1458e88d-a015-450c-b783-05b3d1ad997c","1","MRE",NA
"84","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/c1097711-4b1b-4ec6-b107-3ea30e419ff7","11","SPT",NA
"85","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/90e4bac3-4324-45af-aa80-7bdd229f8027","1","LAR",NA
"86","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/c2bbfe5e-a881-4028-940d-59d7d618dfa9","1","LAR",NA
"87","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/fc07d53a-35cd-44ad-9fba-7017f0b3d33e","1","LAR",""
"88","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/feed2759-63d0-4d20-bafc-0a230c2340c7","1","LAR","continuation of previous sequence"
"89","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/2c01125b-8fd9-499d-9259-9601b791fd3a","1","LAR","continuation of previous two sequences"
"90","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/d84a8702-2d32-4861-9e87-583f10c001be","1","LAR","continuation of previous three sequences"
"91","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/5532097b-213f-4526-9cdc-ad45e67547ea","1","MRE","Check ID, I am basing this on a hunch and one picture of the back of his head. Also check behavior? (vigilance?)"
"92","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/435b7356-e9a2-409d-91f8-46168f361285","1","SPT",""
"93","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/dc882d0a-743b-4a57-8357-3301cb3b2e69","1","SPT",""
"94","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/b50580ec-7841-4088-b117-d9393e4b1ec2","1","SPT",""
"95","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/4481463f-aa03-412e-a705-7f8f5727a688","11","SPT",""
"96","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/d7ae35df-e761-4562-9c3b-3a7eac6d65e2","1","SPT",""
"97","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/e351ee62-8552-45f1-8c8f-a9d17fe7af7e","1","SPT",""
"98","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1c343392-0bf0-4169-8a3d-3a2ea0c611b0","1","SPT",""
"99","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/48569810-10f6-498d-bf8b-f4c418d1239c","1","SMG",""
"100","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/3745b28a-1ab9-43f2-86b7-d9a4e56247bf","1","OLG",""
"101","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/528b40d2-c6df-433c-8cc4-35fa664147c3","1","OLG","Or Bea, check!"
"102","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/013278da-eba0-44ae-874e-d3d4a453732d","15","OLG","Check, can also be BEA"
"103","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/e455af8b-68ec-46e2-a66c-0eae9822001b","1","SPT",""
"104","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/c986ac8c-1f31-4e5a-99f0-16672263439f","1","SPT","Check, I am 95% sure (I think it's the same as the sequence before where I was confident it was spot)"
"105","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/4af9f216-8094-479d-b7bf-5ef7e68b4dc5","1","SPT",""
"106","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/f8f76514-e85a-4717-b251-5bd21e846058","1","SPT",""
"107","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/09f47023-7320-4e67-acb5-ae8020821cf0","1","SPT",""
"108","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/4aa078ee-1ec2-4e9b-86b1-fc2a86d5e7e9","1","ABE","CHECK! could also be CYS"
"109","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/b1331256-0a01-45d0-bed1-98df3f29331b","1","SPT",""
"110","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/e71296fd-1d5a-4ee9-94a6-89b72f843456","1","SPT",""
"111","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/b4e9ed50-5bde-4f55-88f4-9d73c54d737e","1","SPT",""
"112","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/929a000c-59b5-420b-a359-fb379cbc3b6f","1","SPT",""
"113","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/9899d57b-02f8-4533-8f48-b84ff8f2a8a4","1","SPT",""
"114","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/76acd22f-e972-46d7-8de6-07e2e170dff4","1","SPT",""
"115","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/9c5f1e2e-9434-4b41-adba-463738eb6285","1","ABE","Check, could be CYS"
"116","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/7ccc9c7b-1595-4882-94b1-c6e4fb0f53c5","1","SPT",""
"117","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/ba44923e-9594-49dc-a6ac-8459a3ae8824","1","SPT",""
"118","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/df145510-65ac-4d9e-af32-322fb17c8307","1","SPT",""
"119","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/e2a8bf5a-8dea-45cf-9f03-f4b9020e22e3","1","LAR","Check! if not larry then also change 3 sequences after it"
"120","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/99d4567d-55cd-4fd9-9332-417b783564d9","1","LAR",""
"121","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/61bc966e-77b4-46df-b85d-ef0231368bce","1","LAR",""
"122","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/721da3ed-36c0-47ab-88c7-a6fb3ded120d","1","LAR",""
"123","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/88c02561-44a3-4802-befc-707fa5e1d461","1","TOM","I wasn't sure, Check, I didn't code it yet (only as comment)"
"124","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/97818bc7-bc41-4b7e-85f4-9029845a79e5","1","OLG","Pregnant. 80% sure, could be BEA"
"125","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/103c6fc8-3bcd-4ceb-9112-b79264741de5","1","SPT",""
"126","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/4db9eccb-4629-4ad4-bcd2-c6222a9553e0","1","SPT",""
"127","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/841463b5-6396-4cfb-9bd7-53becb077455","1","SPT",""
"128","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/cd6ed99a-b819-423f-92ec-5ac5d3a0d0c9","1","SPT",""
