"","SourceFile","FileName","CreateDate","create_date_tz_panama","create_date_tz_monterrey_mx","create_date_tz_monterrey_mx_agouti","create_date_tz_berlin","create_date_tz_berlin_agouti"
"202","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-22__18-22-30.MP4","SURVEY-CEBUS-03-01-R1__2017-04-22__18-22-30.MP4","22/04/2017 18:22:30",2017-04-22 18:22:30,2017-04-22 18:22:30,"22/04/2017 18:22:30",2017-04-23 01:22:30,"23/04/2017 01:22:30"
"203","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-23__18-13-16.MP4","SURVEY-CEBUS-03-01-R1__2017-04-23__18-13-16.MP4","23/04/2017 18:13:16",2017-04-23 18:13:16,2017-04-23 18:13:16,"23/04/2017 18:13:16",2017-04-24 01:13:16,"24/04/2017 01:13:16"
"204","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-23__18-15-27.MP4","SURVEY-CEBUS-03-01-R1__2017-04-23__18-15-27.MP4","23/04/2017 18:15:27",2017-04-23 18:15:27,2017-04-23 18:15:27,"23/04/2017 18:15:27",2017-04-24 01:15:27,"24/04/2017 01:15:27"
"205","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-23__18-16-22.MP4","SURVEY-CEBUS-03-01-R1__2017-04-23__18-16-22.MP4","23/04/2017 18:16:22",2017-04-23 18:16:22,2017-04-23 18:16:22,"23/04/2017 18:16:22",2017-04-24 01:16:22,"24/04/2017 01:16:22"
"206","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-23__18-20-38.MP4","SURVEY-CEBUS-03-01-R1__2017-04-23__18-20-38.MP4","23/04/2017 18:20:38",2017-04-23 18:20:38,2017-04-23 18:20:38,"23/04/2017 18:20:38",2017-04-24 01:20:38,"24/04/2017 01:20:38"
"207","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-25__17-12-29.MP4","SURVEY-CEBUS-03-01-R1__2017-04-25__17-12-29.MP4","25/04/2017 17:12:29",2017-04-25 17:12:29,2017-04-25 17:12:29,"25/04/2017 17:12:29",2017-04-26 00:12:29,"26/04/2017 00:12:29"
"208","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-25__17-13-07.MP4","SURVEY-CEBUS-03-01-R1__2017-04-25__17-13-07.MP4","25/04/2017 17:13:07",2017-04-25 17:13:07,2017-04-25 17:13:07,"25/04/2017 17:13:07",2017-04-26 00:13:07,"26/04/2017 00:13:07"
"209","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__13-16-09.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__13-16-09.MP4","26/04/2017 13:16:09",2017-04-26 13:16:09,2017-04-26 13:16:09,"26/04/2017 13:16:09",2017-04-26 20:16:09,"26/04/2017 20:16:09"
"210","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__13-16-55.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__13-16-55.MP4","26/04/2017 13:16:55",2017-04-26 13:16:55,2017-04-26 13:16:55,"26/04/2017 13:16:55",2017-04-26 20:16:55,"26/04/2017 20:16:55"
"211","/Volumes/Coiba Image Data/renamed_data/R1/SURVEY-CEBUS-03-01-R1/SURVEY-CEBUS-03-01-R1__2017-04-26__13-19-07.MP4","SURVEY-CEBUS-03-01-R1__2017-04-26__13-19-07.MP4","26/04/2017 13:19:07",2017-04-26 13:19:07,2017-04-26 13:19:07,"26/04/2017 13:19:07",2017-04-26 20:19:07,"26/04/2017 20:19:07"
