SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-16__17-10-38.MP4,CEBUS-08-R5__2018-08-16__17-10-38.MP4,16/08/2018_17:10:38
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-16__17-11-54.MP4,CEBUS-08-R5__2018-08-16__17-11-54.MP4,16/08/2018_17:11:54
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-18__15-37-08.MP4,CEBUS-08-R5__2018-08-18__15-37-08.MP4,18/08/2018_15:37:08
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-18__16-23-29.MP4,CEBUS-08-R5__2018-08-18__16-23-29.MP4,18/08/2018_16:23:29
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-18__16-44-52.MP4,CEBUS-08-R5__2018-08-18__16-44-52.MP4,18/08/2018_16:44:52
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-18__16-47-43.MP4,CEBUS-08-R5__2018-08-18__16-47-43.MP4,18/08/2018_16:47:43
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-18__16-48-48.MP4,CEBUS-08-R5__2018-08-18__16-48-48.MP4,18/08/2018_16:48:48
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-18__16-51-10.MP4,CEBUS-08-R5__2018-08-18__16-51-10.MP4,18/08/2018_16:51:10
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-18__16-53-23.MP4,CEBUS-08-R5__2018-08-18__16-53-23.MP4,18/08/2018_16:53:23
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-21__16-30-19.MP4,CEBUS-08-R5__2018-08-21__16-30-19.MP4,21/08/2018_16:30:19
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-21__16-31-01.MP4,CEBUS-08-R5__2018-08-21__16-31-01.MP4,21/08/2018_16:31:01
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-21__16-36-42.MP4,CEBUS-08-R5__2018-08-21__16-36-42.MP4,21/08/2018_16:36:42
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__15-53-54.MP4,CEBUS-08-R5__2018-08-26__15-53-54.MP4,26/08/2018_15:53:54
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__15-57-51.MP4,CEBUS-08-R5__2018-08-26__15-57-51.MP4,26/08/2018_15:57:51
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__16-05-47.MP4,CEBUS-08-R5__2018-08-26__16-05-47.MP4,26/08/2018_16:05:47
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__16-08-12.MP4,CEBUS-08-R5__2018-08-26__16-08-12.MP4,26/08/2018_16:08:12
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__16-08-52.MP4,CEBUS-08-R5__2018-08-26__16-08-52.MP4,26/08/2018_16:08:52
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__16-10-15.MP4,CEBUS-08-R5__2018-08-26__16-10-15.MP4,26/08/2018_16:10:15
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__16-12-26.MP4,CEBUS-08-R5__2018-08-26__16-12-26.MP4,26/08/2018_16:12:26
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__16-16-27.MP4,CEBUS-08-R5__2018-08-26__16-16-27.MP4,26/08/2018_16:16:27
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-26__16-20-30.MP4,CEBUS-08-R5__2018-08-26__16-20-30.MP4,26/08/2018_16:20:30
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-27__16-45-33.MP4,CEBUS-08-R5__2018-08-27__16-45-33.MP4,27/08/2018_16:45:33
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-27__16-46-11.MP4,CEBUS-08-R5__2018-08-27__16-46-11.MP4,27/08/2018_16:46:11
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-29__16-15-25.MP4,CEBUS-08-R5__2018-08-29__16-15-25.MP4,29/08/2018_16:15:25
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-08-30__17-47-09.MP4,CEBUS-08-R5__2018-08-30__17-47-09.MP4,30/08/2018_17:47:09
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-01__08-36-00.MP4,CEBUS-08-R5__2018-09-01__08-36-00.MP4,01/09/2018_08:36:00
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-01__17-24-15.MP4,CEBUS-08-R5__2018-09-01__17-24-15.MP4,01/09/2018_17:24:15
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-01__17-26-55.MP4,CEBUS-08-R5__2018-09-01__17-26-55.MP4,01/09/2018_17:26:55
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__16-47-25.MP4,CEBUS-08-R5__2018-09-03__16-47-25.MP4,03/09/2018_16:47:25
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-03__17-53-04.MP4,CEBUS-08-R5__2018-09-03__17-53-04.MP4,03/09/2018_17:53:04
