"sequenceid","deploymentid","samplingpoint","projectname","organisationname","isblank","issetuppickup","isunknown","sequencestart","sequenceend","countassets","link"
"44a9688c-5799-4e64-af58-3f6a3a5d7a6b","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:25 11:21:20""","""2018:04:25 11:21:37""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/44a9688c-5799-4e64-af58-3f6a3a5d7a6b"
"6301d737-1b8f-45d3-a875-834a901cd61b","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:24 12:18:59""","""2018:07:24 12:19:23""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/6301d737-1b8f-45d3-a875-834a901cd61b"
"e5174e16-d52a-48db-819e-6a60f59e5a74","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:24 09:56:50""","""2018:04:24 09:57:15""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/e5174e16-d52a-48db-819e-6a60f59e5a74"
"01091768-8bb7-44f2-9ddb-b4a67bc9a985","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:12 13:18:04""","""2018:05:12 13:18:29""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/01091768-8bb7-44f2-9ddb-b4a67bc9a985"
"9e39c482-fe9f-4977-b458-48674cb973d0","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:08 12:40:03""","""2018:05:08 12:40:17""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/9e39c482-fe9f-4977-b458-48674cb973d0"
"c280210d-f1ed-4f3b-8687-f415d34059e8","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:17 18:57:59""","""2018:07:17 18:58:12""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/c280210d-f1ed-4f3b-8687-f415d34059e8"
"87fce8c5-0576-4b2a-a962-f1231c0e7e4f","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:26 12:07:24""","""2018:05:26 12:07:55""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/87fce8c5-0576-4b2a-a962-f1231c0e7e4f"
"7efd739a-cd2e-4ace-bb36-1adb1faa1bea","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:06:25 18:06:26""","""2018:06:25 18:06:45""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/7efd739a-cd2e-4ace-bb36-1adb1faa1bea"
"f0397907-c5d2-4e34-b149-a35aefca553e","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:20 14:30:58""","""2018:04:20 14:31:19""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/f0397907-c5d2-4e34-b149-a35aefca553e"
"d538a422-7285-4d28-ba8b-d6316340f391","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:07:12 18:30:28""","""2018:07:12 18:30:43""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/d538a422-7285-4d28-ba8b-d6316340f391"
